id,feature,title,keyword
07de5ba2-6509-43b6-9864-aecfd33480c5,project,999-@สันกำแพง-2-แม่ปูคา,"ถนนเชียงใหม่-สันกำแพงสายเก่า,บ้านปูคาใต้,โรงเรียนบ้านแม่ปูคา,ตำบลแม่ปูคา,อำเภอสันกำแพง,จังหวัดเชียงใหม่,บ้านเดี่ยว,บ้านเดี่ยวสองชั้น,999 @สันกำแพง 2 แม่ปูคา,999 @Sankampaeng 2"
07E3644F-3C6A-47E4-836F-77EF46B83F32,project,กลันตา-พลัส-อีโค่-วิลเลจ,"โซนริมบึงแก่นนคร,ถนนรอบบึง,ซอยหมู่บ้านพิมานชล2,โซนบึงแก่นนคร,บ้านเดี่ยว,บ้านเดี่ยวชั้นเดียว,บ้านสไตล์รีสอร์ท,กลันตา พลัส อีโค่ วิลเลจ,Glunta Plus Eco Village"
07f90f11-2085-4d62-8a60-244164d0a659,project,ศิริทรัพย์-1-ห้วยวังนอง,"สวนสาธารณะห้วยวังนอง,ซอยชลประทาน,ใกล้เทศบาลตำบลปทุม,โซนในเมือง,ย่านบ้านนิคม-ห้วยวังนอง,ตำบลไร่น้อย,อำเภอเมืองอุบลราชธานี,จังหวัดอุบลราชธานี,บ้านเดี่ยว,บ้านเดี่ยวสองชั้น,บ้านสไตล์โมเดิร์น,ศิริทรัพย์ 1 ห้วยวังนอง,Sirisap 1 Huai Wang Nong"
07f95b68-1cfe-40bf-86ec-5abbc60dcaa6,project,หมู่บ้านญารินทร์-ป่าไม้-ไก่หมุน,"ถนนหลวงหมายเลข221,เมืองกันทรลักษ์,เทศบาลเมืองกันทรลักษ์,ตำบลหนองหญ้าลาด,อำเภอกันทรลักษ์,จังหวัดศรีสะเกษ,บ้านเดี่ยว,ทาวน์โฮม,ชั้นเดียว,สองชั้น,หมู่บ้านญารินทร์ ป่าไม้-ไก่หมุน,Yarin Village"
080bca55-56c0-42b5-a37e-965b4e7a978e,project,ศุภาลัย-วิลล์-สันผีเสื้อ,"ถนนสมโภชเชียงใหม่ 700 ปี,โรงเรียนนานาชาตินครพายัพ,ตำบลสันผีเสื้อ,อำเภอเมืองเชียงใหม่,จังหวัดเชียงใหม่,บ้านเดี่ยว,บ้านเดี่ยวสองชั้น,ทาวน์โฮม,ทาวน์โฮมสองชั้น,ศุภาลัย วิลล์ สันผีเสื้อ,Supalai Ville San Phi Suea"
08475922-2faf-431d-9403-5af2dfb74aa7,project,นพศร-9,"ถนนสหกรณ์,โรงเรียนบ้านศรีบุญเรือง,ตำบลหนองหาร,อำเภอสันทราย,จังหวัดเชียงใหม่,บ้านเดี่ยว,บ้านเดี่ยวชั้นเดียว,นพศร 10,Noppasorn 10"
084bea46-27d8-43b9-9df5-004b2e2e4498,project,ซิมคอนโด,"ถนนมิตรภาพ,ใกล้แม็คโครนครราชสีมา,ใกล้เทอมินอล,ใกล้เซ็นทรัล,โซนในเมือง,ย่านในเมือง,คอนโดมิเนี่ยม,ซิมคอนโด,Sim Condo"
08c4c154-7851-47a3-b900-e638f6f8f454,project,เอพี-บูเลอวาร์ด,"ถนนมะลิวัลย์,ตลาด 62 Blocs,ม.ขอนแก่น,โซนม.ขอนแก่น,คอนโดมิเนี่ยม,คอนโดมิเนี่ยมสไตล์โมเดิร์น,เอพี บูเลอวาร์ด,AP Boulevard"
091ea223-0331-4d2b-88b0-f1bd0535688a,project,วินเดล-ขอนแก่น,"ถนนเลี่ยงเมืองบ้านเป็ด,ศาลปกครองขอนแก่น,โซนบ้านเป็ด,บ้านเดี่ยว,บ้านเดี่ยวชั้นเดียว,บ้านเดี่ยวสองชั้น,บ้านสไตล์คอมเทมโพลารี่,วินเดล ขอนแก่น,Windel Khonkaen"
095c3574-b2c6-4bae-92c0-4d0a3b2811ca,project,เอเวอเรสต์-X10-คอนโดมิเนียม-ศรีนครินทร์,"ถนนมิตรภาพ,ซอยหมู่บ้านขอนแก่นวิลล่า,โรงพยาบาลศรีนครินทร์,โซนม.ขอนแก่น,คอนโดมิเนี่ยม,คอนโดมิเนี่ยมสไตล์โมเดิร์น,เอเวอเรสต์ X10 คอนโดมิเนียม ศรีนครินทร์,Everest X10 Srinakarin"
0999470d-1edb-4083-b813-8d3cfecef9c5,project,สาริน-11,"ถนนเลี่ยงเมืองอุบลราชธานี,ใกล้สี่แยกหนองตาโผน,โซนวารินชำราบ,ย่านวาริน-กันทรลักษณ์,ตำบลแสนสุข,อำเภอวารินชำราบ,จังหวัดอุบลราชธานี,บ้านเดี่ยว,อาคารพาณิชย์,บ้านเดี่ยวสองชั้น,อาคารพาณิชย์สองชั้น,บ้านสไตล์โมเดิร์น,สาริน 11,Sarin 11"
08002c9a-afdf-47bc-a4ef-bb9bcc964f5c,project,ดิเอมวิวล์,"ถนนสุขศิริพูน,ซอยมุขศิริพูน,ตลาดสดเทศบาลตำบลวังชัย,บ้านเดี่ยว,บ้านเดี่ยวชั้นเดียว,ดิเอมวิวล์,The Aim Ville"
0a2b0242-2958-4641-8cd7-ba34eab374d0,project,เดอะทรี-หนองหลุบ,"ถนนมะลิวัลย์,บ้านหนองหลุบ,สนามบินขอนแก่น,โซนบ้านเป็ด,บ้านเดี่ยว,บ้านเดี่ยวชั้นเดียว,เดอะทรี หนองหลุบ,The Tree Bannongloup"
0a488d00-7257-4ead-9d17-a75c3678b79d,project,เดอะวิช-2-บ้านทุ่ม,"ถนนมะลิวัลย์,บ้านทุ่ม,วิทยาลัยอาชีวศึกษาการท่องเที่ยวและการโรงแรมขอนแก่น,โซนบ้านทุ่ม,บ้านเดี่ยว,บ้านเดี่ยวชั้นเดียว,บ้านเดี่ยวสองชั้น,เดอะวิช 2 บ้านทุ่ม,The Wish 2"
0b50f861-4029-440d-81c5-fc00c05c7d2a,project,เดอะ-บียอนด์-บึงทุ่งสร้าง,"ถนนรอบบึงทุ่งสร้าง,บึงทุ่งสร้าง,สวนสาธารณะบึงทุ่งสร้าง,โซนกสิกร-ทุ่งสร้าง,บ้านเดี่ยว,บ้านเดี่ยวสองชั้น,สไตล์โมเดิร์นทรอปิคอล,เดอะ บียอนด์ บึงทุ่งสร้าง,The Beyond"
0BA19BD4-C778-45BD-9F6C-871B24947E8A,project,เลค-วัลเลย์-อ่างห้วยยาง,"อ่างห้วยยาง,ซอยทางเข้าอ่างเก็บน้ำห้วยยาง,มหาวิทยาลัยเทคโนโลยีสุรนารี,โซนโคกกรวด,บ้านเดี่ยว,บ้านเดี่ยวชั้นเดียว,บ้านเดี่ยวสองชั้น,บ้านสไตล์อังกฤษ,เลค วัลเลย์ อ่างห้วยยาง,Lake Valley"
0d5481d8-a4fa-4d41-83d5-a2ba3d5f1b15,project,กาญจน์กนกวิลล์-16-หนองจ๊อม,"ถนนเชียงใหม่-พร้าว,ซอยสหกรณ์,มหาวิทยาลัยแม่โจ้,ตำบลป่าไผ่,อำเภอสันทราย,จังหวัดเชียงใหม่,บ้านเดี่ยว,บ้านเดี่ยวสองชั้น,กาญจน์กนกวิลล์ 16 หนองจ๊อม,Karnkanok Ville 16"
0de5edbc-5b50-486b-a479-2e91111baa3f,project,บ้านญาณิศา-สารภี,"บ้านดอนแก้ว,ซอยบ้านน้ำโจ,วัดใหม่ธรรมชัยญาราม,ตำบลหนองแฝก,อำเภอสารภี,จังหวัดเชียงใหม่,บ้านเดี่ยว,บ้านเดี่ยวชั้นเดียว,บ้านญาณิศา สารภี,Yanisa Sarapee"
